timestamp,kmax_cost,skype_cost,trks_cost
1477967460.0,753552.0,841806.0,639840.0
1477967470.0,769032.0,840996.0,637860.0
1477967480.0,775392.0,837108.0,637140.0
1477967490.0,797628.0,841698.0,634980.0
1477967500.0,812172.0,842454.0,630960.0
1477967510.0,828936.0,842724.0,631440.0
1477967520.0,819048.0,843966.0,631440.0
1477967530.0,801228.0,789048.0,625200.0
1477967540.0,806796.0,794340.0,625680.0
1477967550.0,799512.0,776736.0,598560.0
1477967560.0,825828.0,809568.0,599280.0
1477967570.0,832992.0,809568.0,601320.0
1477967580.0,828348.0,804276.0,602040.0
1477967590.0,842436.0,818802.0,602040.0
1477967600.0,859212.0,827658.0,630000.0
1477967610.0,859956.0,786024.0,629400.0
1477967620.0,864408.0,815616.0,628680.0
1477967630.0,874644.0,820368.0,627300.0
1477967640.0,863820.0,818478.0,579600.0
1477967650.0,851628.0,799902.0,566400.0
1477967660.0,846924.0,800280.0,539160.0
1477967670.0,841404.0,872586.0,613440.0
1477967680.0,833832.0,861354.0,617220.0
1477967690.0,850536.0,863676.0,618660.0
1477967700.0,845316.0,847314.0,582120.0
1477967710.0,838128.0,847314.0,582480.0
1477967720.0,840180.0,848556.0,582480.0
1477967730.0,841608.0,842022.0,590820.0
1477967740.0,828072.0,769392.0,590820.0
1477967750.0,825480.0,769878.0,572280.0
1477967760.0,833136.0,769878.0,556560.0
1477967770.0,824532.0,769878.0,544800.0
1477967780.0,829356.0,766692.0,544800.0
1477967790.0,833796.0,767448.0,544800.0
1477967800.0,826500.0,781812.0,548100.0
1477967810.0,871092.0,862218.0,547260.0
1477967820.0,880560.0,899100.0,579540.0
1477967830.0,881712.0,905688.0,594240.0
1477967840.0,889788.0,936144.0,614040.0
1477967850.0,892704.0,931878.0,644220.0
1477967860.0,918192.0,961578.0,648000.0
1477967870.0,896460.0,919242.0,622440.0
1477967880.0,890148.0,919674.0,603000.0
1477967890.0,899460.0,933444.0,603000.0
1477967900.0,893580.0,965628.0,556020.0
1477967910.0,881712.0,978102.0,556020.0
1477967920.0,869052.0,979236.0,594240.0
1477967930.0,870024.0,987282.0,594000.0
1477967940.0,889704.0,1003050.0,595260.0
1477967950.0,869616.0,986580.0,595740.0
1477967960.0,867960.0,980154.0,618720.0
1477967970.0,874572.0,970758.0,625740.0
1477967980.0,878448.0,975240.0,634560.0
1477967990.0,881952.0,969462.0,628500.0
1477968000.0,881844.0,934146.0,587280.0
1477968010.0,887424.0,923292.0,579840.0
1477968020.0,889056.0,921186.0,590520.0
1477968030.0,887232.0,931662.0,591960.0
1477968040.0,894876.0,930420.0,591480.0
1477968050.0,900960.0,936198.0,592020.0
1477968060.0,893664.0,936630.0,636420.0
1477968070.0,913572.0,989118.0,685200.0
1477968080.0,932952.0,1007316.0,689040.0
1477968090.0,914976.0,1049004.0,666720.0
1477968100.0,905040.0,1050300.0,717420.0
